GÉNERO,ÉPOCA,PRESIDENTE,MODALIDADE,COMPETIÇÃO,VENCEDOR
Feminino,2025/26,Rui Costa,Andebol,Campeonato,SL Benfica
Feminino,2025/26,Rui Costa,Andebol,Supertaça,SL Benfica
Feminino,2025/26,Rui Costa,Andebol,Taça,SL Benfica
Feminino,2024/25,Rui Costa,Andebol,Campeonato,SL Benfica
Feminino,2024/25,Rui Costa,Andebol,Supertaça,Outro
Feminino,2024/25,Rui Costa,Andebol,Taça,SL Benfica
Feminino,2023/24,Rui Costa,Andebol,Campeonato,SL Benfica
Feminino,2023/24,Rui Costa,Andebol,Supertaça,SL Benfica
Feminino,2023/24,Rui Costa,Andebol,Taça,Outro
Feminino,2023/24,Rui Costa,Andebol,Outros,SL Benfica
Feminino,2022/23,Rui Costa,Andebol,Campeonato,SL Benfica
Feminino,2022/23,Rui Costa,Andebol,Supertaça,SL Benfica
Feminino,2022/23,Rui Costa,Andebol,Taça,SL Benfica
Feminino,2022/23,Rui Costa,Andebol,Outros,Outro
Feminino,2021/22,Rui Costa,Andebol,Campeonato,SL Benfica
Feminino,2021/22,Rui Costa,Andebol,Supertaça,Outro
Feminino,2021/22,Rui Costa,Andebol,Taça,SL Benfica
Feminino,2020/21,Luís Filipe Vieira,Andebol,Campeonato,Outro
Feminino,2020/21,Luís Filipe Vieira,Andebol,Supertaça,
Feminino,2020/21,Luís Filipe Vieira,Andebol,Taça,Outro
Feminino,2019/20,Luís Filipe Vieira,Andebol,Campeonato,
Feminino,2019/20,Luís Filipe Vieira,Andebol,Supertaça,Outro
Feminino,2019/20,Luís Filipe Vieira,Andebol,Taça,
Feminino,2018/19,Luís Filipe Vieira,Andebol,Campeonato,Outro
Feminino,2018/19,Luís Filipe Vieira,Andebol,Supertaça,Outro
Feminino,2018/19,Luís Filipe Vieira,Andebol,Taça,Outro
Feminino,2017/18,Luís Filipe Vieira,Andebol,Campeonato,Outro
Feminino,2017/18,Luís Filipe Vieira,Andebol,Supertaça,Outro
Feminino,2017/18,Luís Filipe Vieira,Andebol,Taça,Outro
Feminino,2016/17,Luís Filipe Vieira,Andebol,Campeonato,Outro
Feminino,2016/17,Luís Filipe Vieira,Andebol,Supertaça,Outro
Feminino,2016/17,Luís Filipe Vieira,Andebol,Taça,Outro
Feminino,2015/16,Luís Filipe Vieira,Andebol,Campeonato,Outro
Feminino,2015/16,Luís Filipe Vieira,Andebol,Supertaça,Outro
Feminino,2015/16,Luís Filipe Vieira,Andebol,Taça,Outro
Feminino,2014/15,Luís Filipe Vieira,Andebol,Campeonato,Outro
Feminino,2014/15,Luís Filipe Vieira,Andebol,Supertaça,Outro
